pl_name,hostname,st_spectype,st_teff,pl_rade,pl_bmasse,pl_orbper,pl_orbpererr1,pl_trandur,pl_trandep,pl_tranmid,pl_tranmiderr1,ra,dec,disc_facility
"Kepler-1740 b","Kepler-1740",,5705.00,3.32321414,11.00000000,8.17240047500,,3.9020000,0.08643000,2455194.20248000,0.00221000,293.8736630,38.9224548,"Kepler"
"HD 18599 b","HD 18599","K2 V",5145.00,2.60000000,24.10000000,4.13743540000,0.00000360000,2.0600000,0.10084447,2459111.73946000,0.00068000,44.2620144,-56.1918694,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-498 b","Kepler-498",,5744.00,3.03000000,9.43000000,9.61375356000,0.00001173000,4.7305000,0.07979000,2454965.18509000,0.00101000,290.3581592,44.5187225,"Kepler"
"Kepler-571 b","Kepler-571",,5527.00,2.64000000,7.46000000,4.79859938800,0.00000540300,2.9979000,0.08174000,2455006.25775700,0.00085200,286.5510448,49.4187310,"Kepler"
"Kepler-416 b","Kepler-416",,5718.00,2.48000000,58.20000000,6.31900000000,,3.2023000,0.05983000,2454965.23059000,0.00161000,291.5569554,39.2272923,"Kepler"
"Kepler-414 c","Kepler-414",,5536.00,3.01000000,29.90000000,7.17100000000,,2.9225000,0.08633000,2455009.66684400,0.00074700,297.9615616,48.2443363,"Kepler"
"Kepler-314 c","Kepler-314",,5378.00,2.90000000,8.75000000,5.96039200000,0.00000500000,2.7650000,0.08239000,2454970.26485000,0.00051000,294.6741507,42.0756037,"Kepler"
"Kepler-269 b","Kepler-269",,5847.00,2.47000000,6.66000000,5.32671800000,0.00003500000,3.3870000,0.06114000,2455190.12204000,0.00329000,290.2151459,41.7759810,"Kepler"
"Kepler-963 b","Kepler-963","G",5461.00,2.66000000,7.56000000,9.97683705000,0.00001568000,3.4190000,0.09922000,2454964.76674000,0.00131000,296.7529742,45.0411049,"Kepler"
"Kepler-148 c","Kepler-148",,5272.00,3.60000000,12.60000000,4.18004300000,0.00000400000,2.4820000,0.18805000,2455006.71928000,0.00054000,289.7861626,46.8588176,"Kepler"
"Kepler-260 b","Kepler-260",,5250.00,2.01000000,4.70000000,8.18739900000,0.00002200000,3.0270000,0.05707000,2455093.86771000,0.00136000,291.9259658,38.0140525,"Kepler"
"Kepler-306 c","Kepler-306",,4954.00,2.35000000,6.12000000,7.24019300000,0.00003200000,3.0520000,0.08649000,2455188.01328000,0.00219000,288.5387145,40.6160545,"Kepler"
"Kepler-292 d","Kepler-292",,5299.00,2.23000000,5.60000000,7.05567900000,0.00004300000,3.1450000,0.07056000,2455014.90973000,0.00369000,295.7661979,42.4242822,"Kepler"
"Kepler-119 b","Kepler-119",,5595.00,3.60000000,12.60000000,2.42208200000,0.00000100000,2.5740000,0.18718000,2454965.93928000,0.00019000,295.9463854,42.6588324,"Kepler"
"Kepler-619 b","Kepler-619",,5980.00,3.16000000,10.10000000,5.40427219700,0.00000555000,2.4748000,0.07703000,2455005.18554300,0.00080100,290.8490899,48.4159782,"Kepler"
"Kepler-656 b","Kepler-656",,5281.00,3.12000000,9.91000000,1.26025909400,0.00000066100,1.8742000,0.11307000,2455003.40885400,0.00041700,288.3278778,47.3815380,"Kepler"
"Kepler-305 b","Kepler-305",,5080.00,3.60000000,10.50000000,5.48700000000,,2.9300000,0.13286000,2455189.07730000,0.00145000,299.2242557,40.3431670,"Kepler"
"Kepler-266 b","Kepler-266",,5885.00,2.48000000,6.71000000,6.61833000000,0.00004800000,3.7170000,0.05491000,2455193.36960000,0.00323000,294.4843821,44.1669355,"Kepler"
"Kepler-319 c","Kepler-319",,5526.00,2.63000000,7.41000000,6.94135700000,0.00000700000,1.7910000,0.08670000,2454970.54285000,0.00061000,288.8119782,39.7706431,"Kepler"
"Kepler-346 b","Kepler-346",,6033.00,2.66000000,7.56000000,6.51112700000,0.00001700000,1.5090000,0.06951000,2454964.70570000,0.00166000,288.0119248,46.1176003,"Kepler"
"KOI-7368 b","KOI-7368",,5241.00,2.22000000,5.56000000,6.84303440000,0.00001250000,2.7900000,0.17230000,2454970.04630000,0.00140000,293.9476365,48.0652589,"Kepler"
"Kepler-244 c","Kepler-244",,5554.00,2.05000000,4.86000000,9.76729200000,0.00004600000,1.3730000,0.05691000,2455019.57903000,0.00229000,287.2426410,42.3014185,"Kepler"
"Kepler-506 b","Kepler-506",,6236.00,2.73000000,7.90000000,6.88340550000,0.00000314900,2.0651000,0.05034000,2455005.66260300,0.00035700,284.6351885,40.7198296,"Kepler"
"TOI-1346 c","TOI-1346",,5099.00,2.23000000,5.60000000,5.50255800000,0.00001500000,3.1711008,0.08447023,2459771.72743000,0.00045000,256.6226752,68.8433031,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-234 c","Kepler-234",,6224.00,3.51000000,12.10000000,7.21205000000,0.00002200000,4.0390000,0.09504000,2455005.81664000,0.00178000,291.6535379,38.4946597,"Kepler"
"Kepler-188 c","Kepler-188",,6021.00,3.19000000,10.30000000,5.99655300000,0.00001500000,3.2310000,0.07114000,2455005.50314000,0.00146000,281.2797173,44.3154743,"Kepler"
"Kepler-192 b","Kepler-192",,5479.00,2.74000000,7.95000000,9.92674600000,0.00001800000,3.7800000,0.07255000,2455008.68501000,0.00102000,287.9179379,45.5928829,"Kepler"
"Kepler-254 b","Kepler-254",,5957.00,3.87000000,14.30000000,5.82666200000,0.00001000000,3.0320000,0.15391000,2455006.01039000,0.00101000,288.1646541,45.8164257,"Kepler"
"Kepler-248 b","Kepler-248",,5190.00,3.02000000,9.38000000,6.30820500000,0.00001000000,3.0080000,0.14465000,2455007.04657000,0.00089000,293.0613138,43.5813577,"Kepler"
"TOI-4308 b","TOI-4308",,5243.00,2.41890000,6.43000000,9.15120100000,0.00003600000,2.6160000,0.10740000,2458333.42840000,0.00260000,327.7530693,-43.5623642,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1174 b","TOI-1174",,5030.00,2.56200000,32.00000000,8.95348768300,0.00000903900,3.0631000,0.11360000,2459657.03302000,0.00073000,209.2171751,68.6182106,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-487 d","Kepler-487",,5422.00,2.77513568,8.12000000,2.41839003600,,2.0744000,0.06654000,2454965.50558700,0.00086400,295.2872318,41.2220033,"Kepler"
"Kepler-221 c","Kepler-221",,5243.00,2.93000000,9.30000000,5.69058600000,0.00000400000,2.5220000,0.13720000,2455007.04865000,0.00037000,296.6547477,46.8352242,"Kepler"
"Kepler-245 b","Kepler-245",,5100.00,2.57000000,146.78000000,7.49019000000,0.00001900000,2.8040000,0.12124000,2455007.94919000,0.00132000,291.6389972,42.4363482,"Kepler"
"Kepler-246 b","Kepler-246",,5206.00,2.34000000,6.08000000,4.60182000000,0.00000800000,2.2270000,0.07559000,2455002.97887000,0.00096000,296.4834007,42.6633806,"Kepler"
"Kepler-179 c","Kepler-179",,5302.00,2.00000000,4.66000000,6.40013000000,0.00001700000,1.8420000,0.07432000,2455007.02343000,0.00136000,298.6636163,47.7619329,"Kepler"
"Kepler-226 c","Kepler-226",,5571.00,2.27000000,45.20000000,5.34955500000,0.00001400000,3.0510000,0.08310000,2455004.80599000,0.00148000,292.3760942,47.8809596,"Kepler"
"Kepler-237 c","Kepler-237",,4861.00,2.08000000,4.98000000,8.10363600000,0.00003200000,3.1500000,0.08879000,2455009.94805000,0.00237000,283.2213438,40.4217620,"Kepler"
"Kepler-161 b","Kepler-161",,5078.00,2.12000000,2.63000000,4.92135500000,0.00000600000,1.8730000,0.08001000,2455007.29899000,0.00070000,290.5164698,43.0838642,"Kepler"
"Kepler-864 b","Kepler-864",,5754.00,2.40000000,6.35000000,5.83376092000,0.00001891000,3.8589000,0.05329000,2454971.74873000,0.00267000,285.0570943,46.3206074,"Kepler"
"Kepler-166 b","Kepler-166",,5413.00,2.27000000,5.77000000,7.65025400000,0.00001200000,2.7490000,0.09814000,2455004.97149000,0.00088000,293.1600977,48.8812074,"Kepler"
"Kepler-232 b","Kepler-232",,5847.00,3.08000000,9.69000000,4.43122200000,0.00001100000,3.1720000,0.10109000,2455004.01551000,0.00139000,295.8161668,51.1217249,"Kepler"
"Kepler-233 b","Kepler-233",,5360.00,2.43000000,6.48000000,8.47238200000,0.00002600000,2.6970000,0.11235000,2455007.16212000,0.00160000,296.3665054,51.3194548,"Kepler"
"K2-388 b","K2-388","G8",5310.00,3.90000000,14.50000000,6.33932000000,0.00013000000,3.0200000,0.17390000,2457741.79456000,0.00088000,352.7139342,-11.0773564,"K2"
"TOI-1301.01","TOI-1301",,4820.00,2.47700000,6.70000000,6.09640720900,0.00000356500,2.3326000,0.11424892,2459710.29440000,0.00033000,275.8625432,71.5817479,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-697 b","TOI-697",,5681.95,2.35859364,6.16000000,8.60788713593,0.00005735379,3.3441790,0.05550622,2459185.02728159,0.00256537,69.7042208,-36.6813257,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-949 b","Kepler-949",,5403.00,2.91000000,8.80000000,8.68930729600,0.00000963200,2.5913000,0.11170000,2454966.66108700,0.00086300,298.6079128,46.4536600,"Kepler"
"TOI-808 b","TOI-808",,5078.20,2.20344362,5.49000000,9.73944854026,0.00007194122,3.4986254,0.06417241,2459257.30445666,0.00305667,133.7485497,-44.2886304,"Transiting Exoplanet Survey Satellite (TESS)"
